"Family","Species","LastCollected","Specimens"
"Polygonaceae","Polygonum ramosissimum",1949,9
"Polygonaceae","Polygonum shastense",1951,6
"Polygonaceae","Polygonum viviparum",1944,4
"Polygonaceae","Rumex dentatus",1902,1
"Polygonaceae","Rumex maritimus",1947,1
"Polygonaceae","Rumex persicarioides",1960,5
"Pontederiaceae","Eichhornia crassipes",1956,1
"Potamogetonaceae","Potamogeton fibrillosus",1927,1
"Primulaceae","Androsace septentrionalis",1965,6
"Primulaceae","Centunculus minimus",1926,7
"Primulaceae","Dodecatheon dentatum",1965,8
"Primulaceae","Lysimachia ciliata",1938,7
"Primulaceae","Lysimachia punctata",1960,2
"Primulaceae","Trientalis arctica",1935,6
"Pteridaceae","Adiantum pedatum",1953,2
"Pteridaceae","Cheilanthes siliquosa",1939,1
"Pteridaceae","Pteris cretica",1956,1
"Pteridaceae","Pteris semipinnata",1956,1
"Pteridaceae","Pteris serrulata",1962,2
"Pteridaceae","Pteris tremula",1956,2
"Ranunculaceae","Anemone felix",1926,1
"Ranunculaceae","Anemone globosa",1958,9
"Ranunculaceae","Aquilegia canadensis",1958,1
"Ranunculaceae","Aquilegia sibirica",1915,1
"Ranunculaceae","Cimicifuga laciniata",1934,7
"Ranunculaceae","Delphinium occidentale",1915,1
"Ranunculaceae","Delphinium scaposum",1949,2
"Ranunculaceae","Myosurus clavicaulis",1925,1
"Ranunculaceae","Ranunculus alismaefolius",1943,1
"Ranunculaceae","Ranunculus bulbosus",1922,2
"Ranunculaceae","Ranunculus flabellaris",1953,2
"Ranunculaceae","Ranunculus gmelinii",1931,3
"Ranunculaceae","Ranunculus hebecarpus",1934,6
"Ranunculaceae","Ranunculus suksdorfii",1907,2
"Ranunculaceae","Thalictrum sparsiflorum",1966,13
"Ranunculaceae","Trautvetteria grandis",1888,1
"Ranunculaceae","Trollius albiflorus",1940,1
"Ranunculaceae","Viticella pedunculata",1923,1
"Resedaceae","Reseda lutea",1922,4
"Resedaceae","Reseda luteola",1922,3
"Rhamnaceae","Ceanothus impressus",1958,1
"Rosaceae","Agrimonia gryposepala",1959,4
"Rosaceae","Amelasorbus jackii",1915,1
"Rosaceae","Crataegus macracantha",1915,2
"Rosaceae","Crataegus suksdorfii",1886,1
"Rosaceae","Fragaria cuneifolia",1932,1
"Rosaceae","Fragaria platypetala",1943,2
"Rosaceae","Holodiscus dumosus",1949,1
"Rosaceae","Potentilla bruceae",1936,2
"Rosaceae","Potentilla millefolia",1954,12
"Rosaceae","Potentilla pectinisecta",1949,1
"Rosaceae","Potentilla reptans",1958,3
"Rosaceae","Potentilla rubricaulis",1953,1
"Rosaceae","Potentilla supina",1948,2
"Rosaceae","Prunus persica",1953,1
"Rosaceae","Prunus subcordata",1948,26
"Rosaceae","Pyrus fusca",1914,1
"Rosaceae","Rosa californica",1930,1
"Rosaceae","Rosa macounii",1917,5
"Rosaceae","Rubus ulmifolius",1952,1
"Rosaceae","Sanguisorba minor",1940,1
"Rubiaceae","Galium bolanderi",1939,16
"Rubiaceae","Galium californicum",1929,1
"Rubiaceae","Galium filipes",1933,1
"Rubiaceae","Galium glabrescens",1945,2
"Rubiaceae","Galium muricatum",1946,5
"Rubiaceae","Galium nuttallii",1961,1
"Rubiaceae","Galium tricornutum",1937,8
"Rubiaceae","Rubia tinctoria",1922,2
"Salicaceae","Populus canadensis",1930,2
"Salicaceae","Salix columbiana",1884,1
"Salicaceae","Salix eriocephala",1947,2
"Salicaceae","Salix fluviatilis",1922,3
"Salicaceae","Salix laevigata",1940,2
"Salicaceae","Salix lucida",1953,5
"Salicaceae","Salix pendulina",1953,2
"Salicaceae","Salix sepulcralis",1924,2
"Salicaceae","Salix tracyi",1932,1
"Santalaceae","Phoradendron bolleanum",1948,4
"Sapindaceae","Acer saccharum",1963,3
"Saururaceae","Anemopsis californica",1965,4
"Saxifragaceae","Heuchera glabra",1932,4
"Saxifragaceae","Lithophragma affine",1964,7
"Saxifragaceae","Lithophragma bulbifera",1934,2
"Saxifragaceae","Micranthes apetala",1953,3
"Saxifragaceae","Micranthes tolmiei",1960,32
"Saxifragaceae","Mitella diversifolia",1967,26
"Saxifragaceae","Saxifraga hyperborea",1961,3
"Saxifragaceae","Saxifraga marshallii",1934,3
"Saxifragaceae","Saxifraga nidifica",1927,1
"Saxifragaceae","Saxifraga nuttallii",1882,1
"Saxifragaceae","Saxifraga occidentalis",1934,1
"Saxifragaceae","Saxifraga odontoloma",1919,2
"Saxifragaceae","Saxifraga rufidula",1885,1
"Saxifragaceae","Saxifragopsis fragarioides",1936,5
"Sciadopityaceae","Sciadopitys verticillata",1965,4
"Scrophulariaceae","Verbascum phlomoides",1962,1
"Scrophulariaceae","Verbascum speciosum",1909,3
"Solanaceae","Calibrachoa parviflora",1902,3
"Solanaceae","Lycium barbarum",1937,3
"Solanaceae","Nicandra physalodes",1946,4
"Solanaceae","Nicotiana rustica",1902,1
"Solanaceae","Physalis grisea",1925,3
"Solanaceae","Solanum elaeagnifolium",1945,1
"Solanaceae","Solanum sarrachoides",1947,2
"Solanaceae","Solanum sisymbriifolium",1882,1
"Solanaceae","Solanum umbelliferum",1902,1
"Taxaceae","Taxus cuspidata",1937,1
"Taxaceae","Taxus media",1959,4
"Urticaceae","Urtica urens",1944,3
"Valerianaceae","Plectritis ciliosa",1961,6
"Valerianaceae","Valeriana officinalis",1914,1
"Valerianaceae","Valerianella carinata",1959,4
"Verbenaceae","Verbena incompta",1887,1
"Verbenaceae","Verbena officinalis",1922,1
"Violaceae","Viola bellidifolia",1934,3
"Violaceae","Viola howellii",1967,32
"Violaceae","Viola langsdorfii",1942,4
"Violaceae","Viola psychodes",1887,1
